ID	age	sex	culture	age_m	longitudinal	adult	condition	conc	concern.exp	pat	hug	kiss	object	verbal	comf	cue2	hypoth	conc9prop
UG32	18	F	Uganda	18	NA	Experimenter	control	N	0	N	N	N	N	N	N	NA	N	NA
UG32	18	F	Uganda	18	NA	Experimenter	experimental	Y	0.21004152	N	N	N	N	N	N	NA	Y	NA
UG33	18	F	Uganda	17	NA	Experimenter	control	N	0	N	N	N	N	N	N	NA	Y	NA
UG33	18	F	Uganda	17	NA	Experimenter	experimental	Y	0.133846154	N	N	N	N	N	N	NA	Y	NA
UG34	18	F	Uganda	18	NA	Experimenter	control	N	0	N	N	N	N	N	N	NA	N	NA
UG34	18	F	Uganda	18	NA	Experimenter	experimental	N	0	N	N	N	N	N	N	NA	Y	NA
UG35	18	M	Uganda	18	NA	Experimenter	control	N	0	N	N	N	N	N	N	NA	N	NA
UG35	18	M	Uganda	18	NA	Experimenter	experimental	N	0	N	N	N	N	N	N	NA	Y	NA
UG36	18	M	Uganda	18	NA	Experimenter	control	N	0	N	N	N	N	N	N	NA	N	NA
UG36	18	M	Uganda	18	NA	Experimenter	experimental	N	0	N	N	N	N	N	N	NA	N	NA
UG37	18	F	Uganda	18	NA	Experimenter	control	N	0	N	N	N	N	N	N	NA	N	NA
UG37	18	F	Uganda	18	NA	Experimenter	experimental	N	0	N	N	N	N	N	N	NA	N	NA
UG38	18	M	Uganda	18	NA	Experimenter	control	N	0	N	N	N	N	N	N	NA	N	NA
UG38	18	M	Uganda	18	NA	Experimenter	experimental	Y	0.114765809	N	N	N	N	N	N	NA	Y	NA
UG39	18	F	Uganda	18	NA	Experimenter	control	N	0	N	N	N	N	N	N	NA	Y	NA
UG39	18	F	Uganda	18	NA	Experimenter	experimental	N	0	N	N	N	N	N	N	NA	N	NA
UG41	18	F	Uganda	18	NA	Experimenter	control	Y	0.114765809	N	N	N	N	N	N	NA	N	NA
UG42	18	M	Uganda	17	NA	Experimenter	control	N	0	N	N	N	N	N	N	NA	Y	NA
UG42	18	M	Uganda	17	NA	Experimenter	experimental	N	0	N	N	N	N	N	N	NA	N	NA
UG44	18	M	Uganda	17	NA	Experimenter	control	N	0	N	N	N	N	N	N	NA	N	NA
UG44	18	M	Uganda	17	NA	Experimenter	experimental	N	0	N	N	N	N	N	N	NA	N	NA
UG46	18	F	Uganda	17	NA	Experimenter	control	N	0	N	N	N	N	N	N	NA	Y	NA
UG46	18	F	Uganda	17	NA	Experimenter	experimental	Y	0.288106869	N	N	N	N	N	N	NA	Y	NA
UG47	18	M	Uganda	18	NA	Experimenter	control	N	0	N	N	N	N	N	N	NA	N	NA
UG47	18	M	Uganda	18	NA	Experimenter	experimental	N	0	N	N	N	N	N	N	NA	Y	NA
UG48	18	M	Uganda	18	NA	Experimenter	control	Y	0.133846154	N	N	N	N	N	N	NA	Y	NA
UG48	18	M	Uganda	18	NA	Experimenter	experimental	Y	0.0563	Y	N	N	N	N	Y	NA	Y	NA
UG49	18	F	Uganda	18	NA	Experimenter	control	N	0	N	N	N	N	N	N	NA	N	NA
UG49	18	F	Uganda	18	NA	Experimenter	experimental	N	0	N	N	N	N	N	N	NA	Y	NA
UG52	18	F	Uganda	18	NA	Experimenter	control	N	0	N	N	N	N	N	N	NA	N	NA
UG52	18	F	Uganda	18	NA	Experimenter	experimental	N	0	N	N	N	N	N	N	NA	Y	NA
UG54	18	M	Uganda	17	NA	Experimenter	control	N	0	N	N	N	N	N	N	NA	Y	NA
UG54	18	M	Uganda	17	NA	Experimenter	experimental	N	0	N	N	N	N	N	N	NA	Y	NA
UG55	18	M	Uganda	18	NA	Experimenter	control	N	0	N	N	N	N	N	N	NA	Y	NA
